chr	start	end	cid	pid	abundance	methylpat
1	757120	757351	1	1	0.971546	4:U,7:U,8:U,10:U,17:U,19:U,33:U,37:U,38:U,43:U,50:U,51:U,53:U,54:U,65:U,67:U,68:U,84:U,93:U,106:M,134:M,143:M,148:M,155:M,157:M,162:M,163:M,165:M,171:M,175:M,177:M,178:M,183:M,186:M,188:M,190:M,197:M,201:M,213:M,218:M,222:M,225:M,228:M
1	757120	757351	1	2	0.429	1:M,4:M,7:M,8:M,10:M,17:M,19:M,33:M,37:M,38:M,43:M,50:M,51:M,53:M,54:M,65:U,67:U,68:U,84:M,93:M,106:M,134:U,143:U,148:U,155:U,157:U,162:U,163:U,165:U,171:U,175:U,177:U,178:U,183:U,186:U,188:U,190:U,197:U,201:U,213:U,218:U,222:U,225:U,228:U
1	757120	757351	1	3	0.387	4:U,7:U,8:U,10:U,17:U,19:U,33:U,37:U,38:U,43:U,50:U,51:U,53:U,54:U,65:M,67:M,68:M,84:U,93:U,106:M,134:U,143:U,148:U,155:U,157:U,162:U,163:U,165:U,171:U,175:U,177:U,178:U,183:U,186:U,188:U,190:U,197:U,201:U,213:U,218:U,222:U,225:U,228:U
1	757120	757351	1	4	0.364	4:U,7:U,8:U,10:U,17:U,19:U,33:M,37:M,38:M,43:M,50:M,51:M,53:M,54:M,65:M,67:M,68:M,84:M,93:M,106:U,134:M,143:M,148:M,155:M,157:M,162:M,163:M,165:M,171:M,175:M,177:M,178:M,183:M,186:M,188:M,190:M,197:M,201:M,213:U,218:U,222:U,225:U,228:U
1	757120	757351	1	5	0.261	1:M,4:M,7:M,8:M,10:M,17:M,19:M,33:U,37:U,38:U,43:U,50:U,51:U,53:U,54:U,65:U,67:U,68:U,84:M,93:M,106:M,134:U,143:U,148:U,155:U,157:U,162:U,163:U,165:U,171:U,175:U,177:U,178:U,183:U,186:U,188:U,190:U,197:U,201:U,213:U,218:U,222:U,225:U,228:U
1	757120	757351	1	6	0.253	1:M,4:M,7:M,8:M,10:M,17:M,19:M,33:M,37:M,38:M,43:M,50:M,51:M,53:M,54:M,65:U,67:U,68:U,84:U,93:U,106:U,134:M,143:M,148:M,155:M,157:M,162:M,163:M,165:M,171:M,175:M,177:M,178:M,183:M,186:M,188:M,190:M,197:M,201:M,213:U,218:U,222:U,225:U,228:U
1	757120	757351	1	7	0.243	1:M,4:M,7:M,8:M,10:M,17:M,19:M,33:U,37:U,38:U,43:U,50:U,51:U,53:U,54:U,65:U,67:U,68:U,84:U,93:U,106:M,134:U,143:U,148:U,155:U,157:U,162:U,163:U,165:U,171:U,175:U,177:U,178:U,183:U,186:U,188:U,190:U,197:U,201:U,213:U,218:U,222:U,225:U,228:U
1	757120	757351	1	8	0.233	1:M,4:M,7:M,8:M,10:M,17:M,19:M,33:M,37:M,38:M,43:M,50:M,51:M,53:M,54:M,65:U,67:U,68:U,84:U,93:U,106:M,134:M,143:M,148:M,155:M,157:M,162:M,163:M,165:M,171:M,175:M,177:M,178:M,183:M,186:M,188:M,190:M,197:M,201:M,213:M,218:M,222:M,225:M,228:M
1	757120	757351	1	9	0.191	4:U,7:U,8:U,10:U,17:U,19:U,33:U,37:U,38:U,43:U,50:U,51:U,53:U,54:U,65:M,67:M,68:M,84:M,93:M,106:M,134:M,143:M,148:M,155:M,157:M,162:M,163:M,165:M,171:M,175:M,177:M,178:M,183:M,186:M,188:M,190:M,197:M,201:M,213:M,218:M,222:M,225:M,228:M
1	757120	757351	1	10	0.064	1:M,4:M,7:M,8:M,10:M,17:M,19:M,33:M,37:M,38:M,43:M,50:M,51:M,53:M,54:M,65:U,67:U,68:U,84:M,93:M,106:U,134:M,143:M,148:M,155:M,157:M,162:M,163:M,165:M,171:M,175:M,177:M,178:M,183:M,186:M,188:M,190:M,197:M,201:M,213:U,218:U,222:U,225:U,228:U
