chr	start	end	cid	pid	abundance	methylpat
1	757120	757351	1	1	2.96913	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:U,80:U,84:U,87:U,89:U,97:U,104:U,108:U,114:U,115:U,118:U,127:U,128:U,131:U,140:U,142:U,144:U,152:U,154:U,184:U,187:U,190:U,191:U,196:U,197:U,201:U,208:U,212:U,215:U,219:U,223:U
1	757120	757351	1	2	0.7	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:M,80:M,84:M,87:M,89:M,97:M,104:M,108:M,114:M,115:M,118:M,127:M,128:M,131:M,140:M,142:M,144:M,152:M,154:M,184:M,187:M,190:M,191:M,196:M,197:M,201:M,208:M,212:M,215:M,219:M,223:M
1	757120	757351	1	3	0.069	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:U,80:U,84:U,87:U,89:U,97:U,104:U,108:U,114:U,115:U,118:U,127:U,128:U,131:U,140:M,142:M,144:M,152:M,154:M,184:M,187:M,190:M,191:M,196:M,197:M,201:M,208:M,212:M,215:M,219:M,223:M
1	757120	757351	1	4	0.042	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:M,80:M,84:M,87:M,89:M,97:U,104:U,108:U,114:U,115:U,118:U,127:U,128:U,131:U,140:U,142:U,144:U,152:U,154:U,184:U,187:U,190:U,191:U,196:U,197:U,201:U,208:U,212:U,215:U,219:U,223:U
1	757120	757351	1	5	0.041	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:U,80:U,84:U,87:U,89:U,97:M,104:M,108:M,114:M,115:M,118:M,127:M,128:M,131:M,140:M,142:M,144:M,152:M,154:M,184:M,187:M,190:M,191:M,196:M,197:M,201:M,208:M,212:M,215:M,219:M,223:M
1	757120	757351	1	6	0.039	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:M,80:M,84:M,87:M,89:M,97:M,104:U,108:U,114:U,115:U,118:U,127:U,128:U,131:U,140:U,142:U,144:U,152:U,154:U,184:U,187:U,190:U,191:U,196:U,197:U,201:U,208:U,212:U,215:U,219:U,223:U
1	757120	757351	1	7	0.039	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:M,80:M,84:M,87:U,89:U,97:U,104:U,108:U,114:U,115:U,118:U,127:U,128:U,131:U,140:U,142:U,144:U,152:U,154:U,184:U,187:U,190:U,191:U,196:U,197:U,201:U,208:U,212:U,215:U,219:U,223:U
1	757120	757351	1	8	0.025	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:U,80:U,84:U,87:U,89:U,97:U,104:U,108:U,114:M,115:M,118:M,127:M,128:M,131:M,140:M,142:M,144:M,152:M,154:M,184:U,187:U,190:U,191:U,196:U,197:U,201:U,208:U,212:U,215:U,219:U,223:U
1	757120	757351	1	9	0.025	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:M,80:M,84:M,87:M,89:M,97:M,104:M,108:U,114:U,115:U,118:U,127:U,128:U,131:U,140:U,142:U,144:U,152:U,154:U,184:M,187:M,190:M,191:M,196:M,197:M,201:M,208:M,212:M,215:M,219:M,223:M
1	757120	757351	1	10	0.021	7:U,12:U,13:U,14:U,15:U,16:U,17:U,20:U,22:U,33:U,36:U,37:U,59:M,61:M,65:M,77:M,80:M,84:M,87:M,89:M,97:M,104:M,108:M,114:M,115:M,118:M,127:U,128:U,131:U,140:U,142:U,144:U,152:U,154:U,184:U,187:U,190:U,191:U,196:U,197:U,201:U,208:U,212:U,215:U,219:U,223:U
