chr	start	end	cid	npatterns	total_coverage	total_flow
13	19218085	19218167	1	4	69	0.893977
13	19239922	19240006	2	4	294	1.17912
13	19242520	19242594	3	1	1	0.0136986
13	19465052	19465133	4	1	1	0.0125
13	19557860	19557941	5	1	1	0.0125
13	19565763	19565844	6	1	1	0.0125
13	19631347	19631421	7	2	7	0.0886986
13	19631610	19631692	8	1	125	1.87037
13	19631727	19631809	9	5	90	0.515608
13	19633202	19633284	10	6	36	0.34551
13	19633320	19633402	11	1	2	0.0277778
13	19633439	19633521	12	1	14	0.148148
13	19633557	19633639	13	2	15	0.201649
13	19648309	19648447	14	1	7	0.0291971
13	19648625	19648707	15	1	2	0.0277778
13	19665194	19665383	16	1	6	0.0265957
13	19687673	19687755	17	1	3	0.0462963
13	19687791	19687872	18	1	4	0.05
13	19688019	19688100	19	1	1	0.0125
13	19728285	19728374	20	2	308	1.63439
13	19728403	19728500	21	3	67	0.36532
13	19745961	19746042	22	1	4	0.05
13	19746058	19746140	23	1	4	0.0462963
13	19746140	19746223	24	1	146	0.97561
13	19746258	19746340	25	4	163	2.13942
13	19747276	19747358	26	1	18	0.175926
13	19747392	19747476	27	3	19	0.171628
13	19764249	19764323	28	1	1	0.0136986
13	19819785	19819950	29	1	4	0.0243902
13	19872498	19872572	30	1	1	0.0136986
13	19872760	19872841	31	1	6	0.075
13	19873121	19873202	32	1	2	0.025
13	19878103	19878184	33	1	1	0.0125
13	19909936	19910010	34	1	1	0.0136986
13	19910042	19910135	35	1	3	0.0326087
13	19919168	19919249	36	3	177	0.156376
13	20003471	20003553	37	1	3	0.037037
13	20090244	20090325	38	1	2	0.025
13	20138998	20139279	39	11	57	0.157214
13	20175887	20175973	40	1	80	0.988235
13	20176009	20176091	41	4	102	1.31014
13	20176568	20176680	42	2	75	0.247039
13	20176686	20176799	43	4	207	0.92841
13	20177014	20177095	44	1	6	0.075
13	20207074	20207156	45	1	17	0.259259
13	20207193	20207274	46	1	27	0.3375
13	20207489	20207570	47	1	3	0.0375
13	20207606	20207687	48	1	2	0.025
13	20232325	20232406	49	1	1	0.0125
13	20356229	20356311	50	2	30	0.475883
13	20356347	20356429	51	1	33	0.398148
13	20392452	20392534	52	2	94	2.79167
13	20392570	20392652	53	4	87	0.812011
13	20416373	20416485	54	1	4	0.036036
13	20439074	20439156	55	1	12	0.212963
13	20467859	20467940	56	1	2	0.025
13	20467955	20468036	57	1	2	0.025
13	20507874	20507973	58	1	2	0.0229592
13	20531607	20531688	59	1	1	0.0125
13	20531724	20531806	60	3	33	0.428489
13	20533535	20533610	61	1	3	0.0506757
13	20533652	20533734	62	1	4	0.0648148
13	20534287	20534369	63	1	16	0.194444
13	20534406	20534487	64	1	23	0.2875
13	20569951	20570033	65	1	5	0.0833333
13	20613490	20613571	66	1	3	0.0375
13	20633142	20633288	67	1	11	0.0827586
13	20682191	20682272	68	1	2	0.025
13	20702089	20702171	69	1	14	0.175926
13	20702208	20702290	70	1	13	0.194444
13	20711040	20711297	71	13	312	0.915268
13	20713638	20713720	72	1	44	0.787037
13	20713756	20713838	73	1	56	0.574074
13	20721922	20722004	74	2	227	2.94479
13	20722039	20722122	75	4	227	3.00553
13	20722172	20722253	76	1	5	0.0625
13	20722291	20722372	77	1	4	0.05
13	20747705	20747967	78	4	158	0.653674
13	20748053	20748135	79	1	32	0.490741
13	20748171	20748253	80	1	24	0.314815
13	20749322	20749407	81	1	11	0.14881
13	20749441	20749523	82	1	8	0.111111
13	20762025	20762294	83	3	1559	0.559535
13	20762368	20762450	84	1	20	0.351852
13	20762486	20762568	85	1	16	0.185185
13	20762594	20762675	86	1	2	0.025
13	20762905	20762987	87	1	8	0.12963
13	20763024	20763105	88	1	9	0.1125
13	20763158	20763241	89	5	179	2.20799
13	20763276	20763358	90	5	167	1.90155
13	20764971	20765054	91	4	130	2.43351
13	20765086	20765171	92	2	94	0.343168
13	20765204	20765286	93	1	7	0.0740741
13	20765415	20765673	94	3	117	0.469818
13	20765702	20765816	95	5	34	0.075
13	20765851	20765935	96	2	284	0.266823
13	20765968	20766091	97	4	422	0.809622
13	20766126	20766234	98	4	163	0.103448
13	20766270	20766352	99	2	106	1.24233
13	20803702	20803783	100	1	1	0.0125
13	20804731	20804812	101	1	1	0.0125
13	20804902	20804985	102	1	84	0.195122
13	20805004	20805275	103	5	120	0.192192
13	20805542	20805624	104	3	22	0.296697
13	20805653	20805742	105	14	993	0.508355
13	20805769	20806000	106	4	1018	0.335878
13	20825720	20825801	107	0	6	0
13	20865165	20865246	108	1	1	0.0125
13	20871640	20871721	109	1	1	0.0125
13	20909771	20909852	110	1	4	0.05
13	20920330	20920411	111	1	1	0.0125
13	20924897	20925157	112	7	495	0.513318
13	20942245	20942326	113	2	4	0.0520886
13	20944096	20944177	114	1	1	0.0125
13	20948354	20948473	115	1	2	0.0190678
13	20951086	20951167	116	1	1	0.0125
13	20951231	20951313	117	1	2	0.0277778
13	20961914	20962000	118	4	402	0.246213
13	20962031	20962114	119	1	328	4.78049
13	20997831	20997912	120	1	1	0.0125
13	21015441	21015612	121	1	6	0.0352941
13	21071633	21071714	122	1	1	0.0125
13	21100076	21100158	123	2	5	0.075
13	21100195	21100276	124	1	1	0.0125
13	21100917	21100998	125	1	1	0.0125
13	21101035	21101116	126	1	1	0.0125
13	21137883	21137964	127	1	1	0.0125
13	21174985	21175066	128	1	1	0.0125
13	21290995	21291204	129	19	5009	28.9995
13	21356261	21356342	130	1	1	0.0125
13	21356379	21356460	131	1	1	0.0125
13	21375991	21376072	132	1	1	0.0125
13	21389379	21389460	133	1	5	0.0625
13	21465638	21465719	134	1	1	0.0125
13	21489299	21489373	135	1	1	0.0136986
13	21499010	21499094	136	1	32	0.331325
13	21499128	21499210	137	1	48	0.490741
13	21514161	21514243	138	1	4	0.0648148
13	21514279	21514360	139	1	1	0.0125
13	21517558	21517640	140	1	5	0.0555556
13	21523739	21523820	141	1	2	0.025
13	21563624	21563698	142	1	1	0.0136986
13	21567520	21567601	143	1	1	0.0125
13	21603491	21603572	144	0	2	0
13	21603615	21603696	145	1	1	0.0125
13	21640834	21640982	146	1	2	0.0153061
13	21688142	21688224	147	1	17	0.222222
