chr	start	end	cid	npatterns	total_coverage	total_flow
3	3000055	3000105	1	1	1	1
3	3000136	3000743	2	1	60	46
3	3000755	3001020	3	1	10	9
3	3001027	3001077	4	1	1	1
3	3001079	3001194	5	1	6	7
3	3001197	3001247	6	1	1	1
3	3001294	3001432	7	1	9	7
3	3001629	3001920	8	1	47	37
3	3001988	3002092	9	1	3	4
3	3002160	3002248	10	1	3	4
3	3002262	3002522	11	1	20	0.0702703
3	3002548	3002598	12	1	1	1
3	3002598	3002755	13	1	6	7
3	3002770	3002873	14	1	3	4
3	3002989	3003248	15	2	25	16
3	3003338	3003422	16	1	4	5
3	3003464	3003670	17	1	8	9
3	3003748	3003798	18	1	1	1
3	3003823	3003951	19	1	6	6
3	3003969	3004019	20	1	2	2
3	3004051	3004482	21	1	33	29
3	3004507	3004582	22	1	15	9
3	3005188	3005238	23	1	1	1
3	3005249	3005330	24	1	2	2.25
3	3005407	3005509	25	1	3	4
3	3005525	3005606	26	1	3	4
3	3005615	3005673	27	1	3	4
3	3005679	3005842	28	1	6	7
3	3006001	3006077	29	1	2	2.25
3	3006113	3006163	30	1	1	1
3	3006260	3006314	31	1	2	2.25
3	3006392	3006547	32	1	6	7
3	3006610	3006660	33	1	1	1
3	3006674	3006724	34	1	1	1
3	3006744	3007164	35	1	16	16
3	3007172	3007490	36	1	21	21
3	3007491	3007708	37	1	11	12
3	3007714	3007846	38	1	5	6
3	3007871	3008378	39	2	32	0.0644737
3	3008441	3008609	40	1	7	8
3	3008609	3008659	41	1	1	1
3	3008667	3008722	42	1	2	2.25
3	3009216	3009266	43	1	1	1
3	3009278	3009353	44	1	2	2.25
3	3009378	3009480	45	1	3	4
3	3009483	3009744	46	2	79	56
3	3009809	3009979	47	1	14	14
3	3010004	3010054	48	1	1	1
3	3010055	3010179	49	2	7	0.0864545
3	3010253	3010351	50	1	3	0.0454545
3	3010353	3010713	51	1	34	0.113043
3	3010854	3011046	52	1	13	13
3	3011084	3011238	53	1	19	17
3	3011241	3011451	54	1	11	11
3	3011483	3011801	55	1	18	18
3	3011835	3011885	56	1	1	1
3	3011935	3011985	57	1	1	1
3	3011993	3012163	58	1	10	11
3	3012220	3012363	59	1	13	14
3	3012431	3012481	60	1	2	2
3	3012527	3013926	61	1	189	0.0444444
3	3013947	3014292	62	2	33	0.0969697
3	3014304	3014430	63	1	7	8
3	3014445	3014571	64	1	6	7
3	3014571	3014797	65	2	15	0.137016
3	3014839	3014889	66	1	1	1
3	3014969	3015191	67	1	10	11
3	3015225	3015275	68	1	1	1
3	3015315	3015544	69	1	17	0.0897436
3	3015686	3015915	70	1	12	0.0666667
3	3015940	3016031	71	1	4	5
3	3016041	3016345	72	1	22	23
3	3016346	3016411	73	1	4	5
3	3016414	3016502	74	1	3	4
3	3016564	3017116	75	1	54	52
3	3017133	3017183	76	1	1	1
3	3017259	3017404	77	3	58	0.157653
3	3017417	3017487	78	2	3	4
3	3017613	3017691	79	1	3	4
3	3018468	3018545	80	1	5	5
3	3018597	3018663	81	1	2	2.25
3	3018670	3018720	82	1	1	1
3	3018908	3019078	83	1	13	13
3	3019213	3019286	84	2	11	11
3	3019321	3019371	85	1	1	1
3	3019459	3019600	86	1	8	9
3	3019622	3019729	87	1	3	4
3	3019771	3019940	88	2	20	2.21314
3	3020416	3020466	89	1	1	1
3	3020518	3020594	90	1	4	5
3	3020604	3020781	91	9	42	0.218707
3	3020790	3020854	92	2	2	2.25
3	3020932	3021044	93	1	20	0.106383
3	3021147	3021197	94	1	1	1
3	3021243	3021297	95	1	4	5.25
3	3021332	3021432	96	1	5	6
3	3021439	3021552	97	1	23	16
3	3021615	3021665	98	1	1	1
3	3021683	3021798	99	1	6	7
3	3021848	3022377	100	1	31	32
3	3022425	3022683	101	1	14	13
3	3022697	3022747	102	1	1	1
3	3022747	3023508	103	1	64	61
3	3023515	3023898	104	2	22	0.0610546
3	3023918	3023968	105	1	1	1
3	3023978	3024220	106	1	34	30
3	3024328	3024593	107	1	16	17
3	3024595	3024645	108	2	2	2
3	3024662	3024729	109	1	2	2.25
3	3024791	3024978	110	1	10	11
3	3025146	3025241	111	1	3	4
3	3025294	3025344	112	1	1	1
3	3025384	3025434	113	1	1	1
3	3025435	3025485	114	1	1	1
3	3025498	3025770	115	1	22	0.104294
3	3025811	3025863	116	1	2	2.25
3	3025884	3025981	117	1	5	6
3	3025984	3026078	118	1	10	9
3	3026142	3026192	119	1	1	1
3	3026202	3026321	120	2	3	4
3	3026328	3026421	121	1	5	5
3	3026431	3026481	122	1	1	1
3	3026549	3026630	123	1	2	2.25
3	3026636	3026912	124	1	14	15
3	3026916	3027000	125	1	3	4
3	3027066	3027128	126	1	7	8
3	3027197	3027258	127	1	2	2.25
3	3027267	3027332	128	1	3	4
3	3027359	3027653	129	2	20	0.0688406
3	3027687	3027797	130	1	7	6
3	3027807	3027936	131	1	5	6
3	3028226	3028276	132	1	1	1
3	3028306	3028363	133	2	3	4
3	3028376	3028441	134	1	2	2.25
3	3028488	3028723	135	2	9	10
3	3028740	3029119	136	1	25	25
3	3029127	3029177	137	1	1	1
3	3029302	3029352	138	1	1	1
3	3029353	3029545	139	1	28	19
3	3029598	3029870	140	1	13	12
3	3029882	3030004	141	1	4	5
3	3030008	3030085	142	1	5	6
3	3030103	3030328	143	1	13	13
3	3030364	3030414	144	1	1	1
3	3030427	3030477	145	1	1	1
3	3030515	3030568	146	1	2	2.25
3	3030608	3030862	147	1	9	10
3	3030883	3030950	148	1	2	2.25
3	3030980	3031090	149	1	6	6
3	3031132	3031182	150	1	1	1
3	3031256	3031351	151	1	4	5
3	3031543	3031612	152	1	2	2.25
3	3031635	3031822	153	1	9	10
3	3031989	3032191	154	2	13	0.0514184
3	3032227	3032340	155	1	8	9
3	3032357	3032530	156	2	7	8
3	3032555	3032647	157	1	3	4
3	3032684	3032913	158	1	23	23
3	3032913	3032963	159	1	1	1
3	3033016	3033068	160	2	2	2.25
3	3033076	3033141	161	2	3	0.15
3	3033259	3033309	162	1	1	1
3	3033331	3033489	163	2	15	0.123377
3	3033690	3033804	164	1	5	5
3	3033824	3033874	165	1	1	1
3	3034374	3034424	166	1	1	1
3	3034563	3034613	167	1	1	1
3	3034627	3034689	168	1	3	4
3	3034765	3034835	169	1	2	2.25
3	3034897	3034965	170	1	18	13
3	3034970	3035020	171	1	1	1
3	3035069	3035119	172	1	1	1
3	3035185	3035238	173	2	2	2.25
3	3035275	3035387	174	1	6	0.125
3	3035393	3035443	175	1	1	1
3	3035513	3035589	176	1	2	2.25
3	3035766	3035816	177	1	1	1
3	3036072	3036150	178	1	2	2.25
3	3036188	3036238	179	1	1	1
3	3036457	3036507	180	1	1	1
3	3036599	3036663	181	1	2	2.25
3	3036736	3036786	182	1	1	1
3	3036882	3036932	183	1	1	1
3	3037038	3037088	184	1	1	1
3	3037245	3037308	185	1	2	2.25
3	3037415	3037504	186	1	4	5
3	3037581	3037764	187	1	15	14
3	3037790	3037956	188	1	15	15
3	3037989	3038066	189	1	3	4
3	3038195	3038304	190	1	5	6
3	3038349	3038399	191	1	1	1
3	3038517	3038613	192	1	2	2.25
3	3038652	3038702	193	1	1	1
3	3039293	3039343	194	1	1	1
3	3039363	3039413	195	1	1	1
3	3039439	3039535	196	1	4	5
3	3039743	3039793	197	1	1	1
3	3039850	3039900	198	1	1	1
3	3039958	3040020	199	1	3	4
3	3040118	3040194	200	1	2	2.25
3	3040295	3040412	201	2	10	0.11453
3	3040445	3040495	202	1	1	1
3	3040540	3040729	203	1	26	21
3	3040954	3041059	204	1	15	15
3	3041190	3041280	205	1	2	2.25
3	3041912	3042057	206	1	12	13
3	3042093	3042160	207	1	3	3.75
3	3042528	3042578	208	1	1	1
3	3042799	3042905	209	1	4	5
3	3043010	3043060	210	1	1	1
3	3043212	3043348	211	1	5	0.0322581
3	3043447	3043574	212	2	14	1.12378
3	3043603	3043653	213	1	1	1
3	3043759	3043809	214	1	1	1
3	3043969	3044033	215	1	18	16.5
3	3044056	3044138	216	2	12	0.26625
3	3044177	3044228	217	1	2	2.25
3	3044272	3044329	218	1	2	2.25
3	3044460	3044543	219	1	5	6
3	3044734	3044784	220	1	1	1
3	3044923	3044986	221	1	4	5
3	3045109	3045192	222	1	3	4
3	3045226	3045276	223	1	1	1
3	3045474	3045539	224	1	2	2.25
3	3046008	3046058	225	1	1	1
3	3046100	3046150	226	1	1	1
3	3046150	3046200	227	1	1	1
3	3046525	3046597	228	1	2	2.25
3	3046764	3046814	229	1	1	1
3	3047080	3047130	230	1	1	1
3	3047176	3047226	231	1	1	1
