chr	start	end	cid	pid	abundance	methylpat
1	757120	757351	1	1	0.993893	3:M,7:M,14:M,18:M,19:M,20:M,21:M,36:U,43:U,47:U,50:U,54:U,61:U,63:U,70:U,71:U,89:M,97:M,99:M,108:M,120:U,125:U,128:U,130:U,135:U,139:U,155:U,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	2	0.945	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:M,125:M,128:M,130:M,135:M,139:M,155:M,168:U,169:U,171:U,173:U,184:M,188:M,197:M,198:M,199:M,200:M,204:M,210:M,217:M,219:M,221:M,227:M,229:M
1	757120	757351	1	3	0.543	3:M,7:M,14:M,18:M,19:M,20:M,21:M,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:M,125:M,128:M,130:M,135:M,139:M,155:U,168:M,169:M,171:M,173:M,184:M,188:M,197:M,198:M,199:M,200:M,204:M,210:M,217:M,219:M,221:M,227:M,229:M
1	757120	757351	1	4	0.383	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:U,43:U,47:U,50:U,54:U,61:U,63:U,70:U,71:U,89:M,97:M,99:M,108:M,120:U,125:U,128:U,130:U,135:U,139:U,155:M,168:M,169:M,171:M,173:M,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	5	0.104	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:M,125:M,128:M,130:M,135:M,139:M,155:M,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	6	0.098	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:U,43:U,47:U,50:U,54:U,61:U,63:U,70:U,71:U,89:M,97:M,99:M,108:U,120:M,125:M,128:M,130:M,135:M,139:M,155:U,168:M,169:M,171:M,173:M,184:M,188:M,197:M,198:M,199:M,200:M,204:M,210:M,217:M,219:M,221:M,227:M,229:M
1	757120	757351	1	7	0.094	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:M,125:M,128:M,130:M,135:M,139:M,155:M,168:M,169:M,171:M,173:M,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	8	0.082	3:M,7:M,14:M,18:M,19:M,20:M,21:M,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:M,97:M,99:M,108:M,120:U,125:U,128:U,130:U,135:U,139:U,155:U,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	9	0.057	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:U,43:U,47:U,50:U,54:U,61:U,63:U,70:U,71:U,89:M,97:M,99:M,108:M,120:U,125:U,128:U,130:U,135:M,139:M,155:M,168:U,169:U,171:U,173:U,184:M,188:M,197:M,198:M,199:M,200:M,204:M,210:M,217:M,219:M,221:M,227:M,229:M
1	757120	757351	1	10	0.051	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:U,125:U,128:U,130:U,135:U,139:U,155:M,168:M,169:M,171:M,173:M,184:M,188:M,197:M,198:M,199:M,200:M,204:M,210:M,217:M,219:M,221:M,227:M,229:M
1	757120	757351	1	11	0.05	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:U,125:U,128:U,130:U,135:U,139:U,155:M,168:M,169:M,171:M,173:M,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	12	0.046	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:M,99:M,108:M,120:U,125:U,128:U,130:U,135:U,139:U,155:U,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	13	0.039	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:M,125:M,128:M,130:M,135:M,139:M,155:U,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	14	0.039	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:M,108:M,120:U,125:U,128:U,130:U,135:U,139:U,155:U,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	15	0.036	3:M,7:M,14:M,18:M,19:M,20:M,21:M,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:M,125:U,128:U,130:U,135:U,139:U,155:U,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	16	0.035	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:U,43:U,47:U,50:U,54:U,61:U,63:U,70:U,71:U,89:M,97:M,99:M,108:M,120:U,125:U,128:M,130:M,135:M,139:M,155:M,168:U,169:U,171:U,173:U,184:M,188:M,197:M,198:M,199:M,200:M,204:M,210:M,217:M,219:M,221:M,227:M,229:M
1	757120	757351	1	17	0.027	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:M,43:M,47:M,50:M,54:M,61:M,63:M,70:M,71:M,89:U,97:U,99:U,108:U,120:M,125:M,128:M,130:M,135:U,139:U,155:U,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	18	0.024	3:M,7:M,14:M,18:M,19:M,20:M,21:M,36:U,43:U,47:U,50:U,54:U,61:U,63:U,70:U,71:U,89:U,97:U,99:U,108:U,120:M,125:M,128:M,130:M,135:M,139:M,155:U,168:U,169:U,171:U,173:U,184:U,188:U,197:U,198:U,199:U,200:U,204:U,210:U,217:U,219:U,221:U,227:U,229:U
1	757120	757351	1	19	0.015	3:U,7:U,14:U,18:U,19:U,20:U,21:U,36:U,43:U,47:U,50:U,54:U,61:U,63:U,70:U,71:U,89:M,97:M,99:M,108:M,120:U,125:U,128:U,130:U,135:U,139:M,155:M,168:U,169:U,171:U,173:U,184:M,188:M,197:M,198:M,199:M,200:M,204:M,210:M,217:M,219:M,221:M,227:M,229:M
