chr	start	end	cid	npatterns	total_coverage	total_flow
13	19218085	19218168	1	4	115	1.32197
13	19239922	19240011	2	4	57	0.133511
13	19300926	19301000	3	1	1	0.0136986
13	19588404	19588485	4	0	1	0
13	19589682	19589763	5	0	1	0
13	19631347	19631428	6	1	1	0.0125
13	19631610	19631699	7	0	46	0
13	19631728	19631810	8	4	49	0.621999
13	19633203	19633284	9	3	4	0.05
13	19633557	19633638	10	2	2	0.025
13	19648309	19648447	11	1	3	0.0291971
13	19648507	19648588	12	1	1	0.0125
13	19648625	19648707	13	1	2	0.0277778
13	19658167	19658248	14	0	1	0
13	19687673	19687747	15	0	1	0
13	19687792	19687873	16	1	1	0.0125
13	19728251	19728374	17	2	32	0.10016
13	19728404	19728500	18	2	8	0.0910088
13	19745961	19746042	19	1	1	0.0125
13	19746058	19746140	20	0	5	0
13	19746140	19746222	21	0	76	0
13	19746258	19746340	22	3	84	1.08635
13	19747276	19747358	23	0	16	0
13	19747394	19747476	24	3	14	0.21768
13	19872760	19872834	25	2	16	0.202397
13	19873003	19873086	26	2	3	0.046875
13	19873121	19873202	27	0	1	0
13	19910041	19910135	28	1	9	0.129032
13	19910160	19910241	29	0	5	0
13	19919168	19919249	30	2	5	0.0625
13	19942918	19942999	31	0	1	0
13	20003472	20003553	32	2	2	0.025
13	20064742	20064823	33	0	5	0
13	20090547	20090628	34	0	1	0
13	20138999	20139080	35	1	1	0.0125
13	20139198	20139279	36	1	1	0.0125
13	20175891	20176160	37	3	24	0.083476
13	20176568	20176680	38	6	37	0.110327
13	20176685	20176799	39	7	113	0.192566
13	20177013	20177095	40	2	18	0.176185
13	20207074	20207327	41	7	121	0.267341
13	20207487	20207568	42	1	1	0.0125
13	20207613	20207687	43	1	1	0.0136986
13	20343167	20343248	44	1	1	0.0125
13	20343306	20343387	45	1	4	0.05
13	20356229	20356311	46	1	26	0.425926
13	20356347	20356429	47	2	27	0.296409
13	20392452	20392534	48	7	52	0.959918
13	20392569	20392652	49	5	62	0.63106
13	20438736	20438818	50	3	3	0.0375
13	20438872	20438946	51	1	3	0.0410959
13	20438991	20439072	52	3	17	0.2125
13	20439074	20439155	53	1	5	0.0625
13	20531362	20531443	54	1	4	0.05
13	20531487	20531561	55	1	1	0.0136986
13	20531566	20531806	56	4	14	0.0591135
13	20533535	20533609	57	1	2	0.0273973
13	20533654	20533735	58	1	2	0.025
13	20534287	20534369	59	1	18	0.231481
13	20534406	20534487	60	1	14	0.175
13	20563344	20563425	61	0	1	0
13	20582199	20582273	62	0	1	0
13	20702005	20702086	63	1	3	0.0375
13	20702089	20702204	64	1	6	0.0438596
13	20702208	20702289	65	1	1	0.0125
13	20711040	20711298	66	15	216	0.858075
13	20713637	20713720	67	1	49	0.878049
13	20713756	20713838	68	0	68	0
13	20721922	20722004	69	2	173	3.07099
13	20722039	20722122	70	3	178	2.59546
13	20722172	20722254	71	0	5	0
13	20722290	20722372	72	2	9	0.092689
13	20735745	20735827	73	3	4	0.0549544
13	20735863	20735945	74	3	6	0.0652469
13	20747705	20747967	75	5	204	0.725936
13	20748053	20748311	76	1	11	0.0466926
13	20749323	20749404	77	1	2	0.025
13	20749441	20749523	78	1	3	0.0462963
13	20762026	20762294	79	5	243	0.353276
13	20762368	20762450	80	2	9	0.13966
13	20762486	20762568	81	0	8	0
13	20762594	20762675	82	2	5	0.0636986
13	20762712	20762855	83	2	13	0.0784636
13	20762892	20762987	84	3	36	0.19397
13	20763023	20763105	85	2	27	0.268608
13	20763158	20763240	86	5	42	0.629252
13	20763266	20763358	87	4	31	0.26696
13	20764971	20765053	88	3	56	0.965517
13	20765087	20765171	89	2	31	0.0965792
13	20765205	20765286	90	0	4	0
13	20765415	20765674	91	3	191	0.245122
13	20765679	20765809	92	4	13	0.0682648
13	20765851	20765935	93	2	159	0.891146
13	20765958	20766092	94	4	228	0.382194
13	20766127	20766234	95	5	38	0.0710172
13	20766270	20766352	96	3	22	0.211518
13	20804730	20804812	97	0	12	0
13	20804848	20804983	98	2	25	0.16674
13	20805020	20805182	99	3	41	0.128811
13	20805188	20805275	100	2	17	0.0776834
13	20805542	20805624	101	4	10	0.128729
13	20805653	20805742	102	7	176	0.334268
13	20805770	20806000	103	5	208	0.0541324
13	20806059	20806140	104	2	2	0.0299229
13	20806160	20806241	105	1	1	0.0125
13	20806345	20806426	106	1	1	0.0125
13	20821132	20821213	107	1	1	0.0125
13	20924898	20925157	108	4	341	0.308235
13	20941864	20941945	109	0	1	0
13	20941958	20942032	110	1	1	0.0136986
13	20961914	20961997	111	3	137	0.926787
13	20962031	20962115	112	0	124	0
13	20966940	20967021	113	1	1	0.0125
13	20967067	20967148	114	1	1	0.0125
13	20967717	20967798	115	0	1	0
13	21015748	21015899	116	1	2	0.015
13	21023640	21023721	117	0	1	0
13	21036775	21036856	118	1	2	0.025
13	21036892	21036966	119	1	1	0.0136986
13	21100077	21100158	120	1	2	0.025
13	21100201	21100275	121	1	1	0.0136986
13	21100917	21100998	122	0	3	0
13	21101033	21101115	123	0	2	0
13	21102797	21102878	124	1	1	0.0125
13	21119059	21119140	125	1	1	0.0125
13	21287102	21287176	126	1	1	0.0136986
13	21290984	21291089	127	4	985	0.797369
13	21291090	21291204	128	9	854	0.165771
13	21305253	21305327	129	1	1	0.0136986
13	21305412	21305493	130	0	2	0
13	21329023	21329104	131	1	1	0.0125
13	21356261	21356343	132	0	3	0
13	21356379	21356461	133	0	5	0
13	21359014	21359095	134	0	1	0
13	21380671	21380752	135	1	2	0.025
13	21499010	21499093	136	0	72	0
13	21499128	21499210	137	1	114	1.12037
13	21514161	21514243	138	0	22	0
13	21514279	21514361	139	3	20	0.246738
13	21607777	21607858	140	1	1	0.0125
13	21648336	21648410	141	1	1	0.0136986
13	21648470	21648551	142	1	1	0.0125
13	21674865	21674939	143	1	1	0.0136986
13	21698255	21698336	144	1	1	0.0125
13	21698373	21698454	145	1	1	0.0125
13	21721764	21721964	146	4	240	0.184454
13	21795768	21795849	147	0	1	0
13	21808667	21808749	148	3	4	0.0542052
13	21808770	21808851	149	1	2	0.025
13	21808887	21808968	150	2	11	0.1375
13	21866054	21866136	151	2	61	1.05921
13	21866171	21866256	152	3	66	0.105163
13	21872552	21872817	153	5	275	0.145721
13	21896581	21896664	154	1	3	0.0365854
13	21897752	21897834	155	1	6	0.0648148
13	21902434	21902529	156	2	24	0.158245
13	21902551	21902634	157	4	20	0.2508
